"Zeitstempel","Bitte geben Sie das Land und die Stadt an, in der Sie arbeiten:","Bitte kreuzen Sie Ihr Geschlecht an:						","Welcher der folgenden Altersgruppen gehören Sie an?","In welcher der folgenden Einrichtungen sind Sie beschäftigt:","In welcher Beziehung stehen Sie zu der/den pflegenden Person/en?","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Spaß daran neue Technologien auszuprobieren.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich sehe keine Notwendigkeit für neue Technologien.]","Wie sehr treffen die folgenden Aussagen auf Sie zu (1 - gar nicht bis 4 sehr): [Ich habe Angst vor Veränderung durch neue Technologien.]","Welche Maßnahmen zur Verhinderungen von Stürzen haben Sie in Ihrer Einrichtung bereits ergriffen?","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Der Sturz muss mit einer Genauigkeit von über 90% erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Es darf kein Fehlalarm ausgelöst werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch im Dunkeln erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn sich mehrere Personen im Zimmer aufhalten.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss indoor als auch outdoor erkannt werden.]","Wie wichtig sind folgende Faktoren der Sturzdetektion (1 - unwichtig bis 4 sehr wichtig): [Ein Sturz muss auch erkannt werden, wenn die Person durch Möbelstücke verdeckt wird.]","Sonstiges:","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte sich mit der Kamera frei im Raum bewegen können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Email an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einen Sturzalarm per Anruf/SMS an die Pflegeperson versenden können.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte einer Person nicht zu nah kommen, um keine Stolperquelle zu sein.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine Tierform annehmen um eine höhere Akzeptanz der Bewohner zu erlangen.]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte selbstständig zur Ladestation zurückkehren]","Wie wichtig sind folgende Funktionen des Roboters (1 - unwichtig bis 4 sehr wichtig): [Der Roboter sollte eine möglichst lange Betriebszeit haben.]","Wie lange sollte die Betriebszeit sein?","Sonstiges","Wo könnten Sie sich einen Einsatz des Roboters am ehesten vorstellen?","Wie teuer darf ein Sturzdetektionssystem Ihrer Meinung nach sein?","Die Zahlung sollte erfolgen:","Ist Ihrer Meinung nach ein Einsatz eines Roboters zur Sturzerkennung sinnvoll (mit Begründung)?","Welche Verbesserungen könnten Sie sich vorstellen?","Könnten Sie sich weitere nützliche Funktionen des Roboters vorstellen und wenn ja, welche?"
"2022/05/22 6:46:01 PM OEZ","Deutschland, Köln","weiblich","41-45","Chemieunternehmen","privat","3","1 - gar nicht","2","Entfernen von Teppichen, adequates Schuhwerk, freie Laufflächen","2","2","4 - sehr wichtig","3","3","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Häusliche Pflege","> 500 €","in monatlichen Raten","Wenn die Familie nicht in der Nähe wohnt und der Angehörige den Notrufknopf wieder verlegt hat, ist dies eine gute Sache, um schnell Hilfe zu holen.","Keine ","Zusätzliche Funktion der Sprachsteuerung, um persönliche Mitteilung per SMS an Vertrauensperson zu senden."
"2022/05/22 9:57:42 PM OEZ","Deutschland München ","weiblich","25-30","Krankenhaus","beruflich","2","1 - gar nicht","1 - gar nicht","Bettgitter, Tiefstellen des Betts, keine Kabel oder andere Stolperfallen in den Weg, Geländer, Gurte","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","einmalig","Kann durchaus sinnvoll sein auf größeren Stationen","",""
"2022/05/22 10:05:38 PM OEZ","Deutschland, München","weiblich","21-24","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Bettgitter, Hilfsmittel einbremsen, Lifter zum Transfer","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","2","3","4 - sehr wichtig","3","3","3","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","> 500 €","einmalig","Ja da aufgrund des Pflegemangels Stürze zu spät entdeckt werden könnten","",""
"2022/05/23 8:38:36 AM OEZ","Hall in Tirol","weiblich","41-45","Pflegeheim","beruflich","3","1 - gar nicht","2","Sensormatten, Sturzmatten, Sturzhelme, Niederflurbetten, notfalls UBG","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","Schnellladen, Alarm soll auch auf DECT Handys bzw. auf Schwesternrufanlagen schalten","Pflegeheim;Häusliche Pflege","> 500 €","einmalig","ja, aufgrund des Pflegenotstandes in Einrichtungen und in der häuslichen Pflege, da nicht immer jemand da ist, bzw. der Betroffone evtl. keine Hilfe rufen kann","","Im häuslichen Bereich: Dass der Robotor den Notruf wählt, falls der Betroffene nicht reagiert bzw. dies äußert"
"2022/05/23 9:50:50 AM OEZ","Deutschland, Aschau i. Chiemgau","weiblich","51-60","Häusliche Pflege","beruflich","3","4 - sehr","2","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","einmalig","","",""
"2022/05/23 2:06:48 PM OEZ","Deutschland, Wasserburg am Inn","weiblich","25-30","Altenheim","beruflich","3","1 - gar nicht","1 - gar nicht","Sensormatte, Hüftprotektorenhose, Physio, Gymnastik, Beratungen, Hilfsmittel","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim","> 1.000 €","einmalig","Wenn dies den Anforderungen siehe oben entspricht ist es eine hilfreicher Funktion um den Pflegekräfte Arbeit zu erleichtern, Stürze schnell zu erkennen und zeitnah reagieren zu können","",""
"2022/05/23 3:18:36 PM OEZ","","weiblich","31-35","Häusliche Pflege","beruflich","2","2","3","Hilfsmittel ","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","3","3","3","3","3","3","3","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus","> 500 €","einmalig","Nein ","",""
"2022/05/24 8:48:52 AM OEZ","","weiblich","41-45","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Senormatte, Protektoren","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Krankenhaus;Häusliche Pflege","100 € - 500 €","","Ja es gibt Zeiten wo der Bewohner sich z.b in seinem Zimmer ist und der PK nicht immer da sein kann. ","",""
"2022/05/24 12:34:19 PM OEZ","","weiblich","51-60","Häusliche Pflege","beruflich","2","2","2","Wir beraten unsere Kunden und sie bekommen was zum Nachlesen zur Vermeidung von Stürzen","2","2","3","3","3","4 - sehr wichtig","Unsere Patienten haben fast alle einen Notfallknopf","2","3","3","1 - unwichtig","2","3","3","> 8 Stunden","","Häusliche Pflege","< 100 €","einmalig","Muss einfach ausprobiert werden ob es funktioniert","","Dass man mit ihm sprechen kann; wie bei der Alexa"
"2022/05/24 12:38:45 PM OEZ","Deutschland, Prien","weiblich","25-30","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Sturzmatten/-sensoren, Bed-Exit-Boxen","2","2","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","3","3","4 - sehr wichtig","3","> 8 Stunden","","Häusliche Pflege","100 € - 500 €","einmalig","Ja, wenn eine Person unbeobachtet stürzt, kann ein Roboter darauf aufmerksam machen","","Übernahme der Funktion eines Hausnotrufs/Patientenklingel durch Sprachsteuerung"
"2022/05/24 3:25:55 PM OEZ","Krefeld ","weiblich","46-50","Krankenhaus","beruflich","3","2","1 - gar nicht","Aufklärung des Patienten","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","< 100 €","einmalig","Personal im Altes Heim können nicht überall sein, viele Bewohner sind Geistlich reduziert ","",""
"2022/05/25 10:17:34 AM OEZ","Samerberg","männlich","25-30","Altenheim","Geschäftsführer des Alten- und Pflegeheims","2","2","1 - gar nicht","Geh und Stehübungen, Gute Beleuchtung der Räume und Gänge, Halte Griffe, Sturz und Sensormatten, Safer Exit Platten, ","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","","2","1 - unwichtig","1 - unwichtig","4 - sehr wichtig","3","4 - sehr wichtig","3","> 8 Stunden","Der Roboter sollte den Alarm über die Schwesternrufanlage mitteilen; Betriebszeit mindestens von 6:30 Uhr bis 20:30 Uhr","Altenheim;Pflegeheim","100 € - 500 €","einmalig","Ein Roboter wär zumindest eine Alternative, jedoch dient er auch wieder als Potenzielle Stolperfalle! Wichter wäre für mich einfach ausreichend Personal in den Alten- und Pflegeheimen","",""
"2022/05/25 10:58:47 AM OEZ","Deutschland, Aschau","weiblich","51-60","ambulanter Pflegedienst","beruflich","4 - sehr","4 - sehr","2","Begleitung, gute Schuhe, Beratungsgespräche, Teppiche entfernen","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Häusliche Pflege","100 € - 500 €","in monatlichen Raten","sinnvoll, weil viele Menschen stundenlang nach einem Sturz am Boden liegen, auskühlen ...","","An Einnahme von Medikamenten erinnern"
"2022/05/25 11:07:20 AM OEZ","Rosenheim","weiblich","51-60","Pflegeheim","beruflich","3","3","1 - gar nicht","Prävention und Prophylaxe sowie Einschätzung","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","1 - unwichtig","","unwichtig","in der Zukunft","< 100 €","einmalig","Alte Menschen können damit noch nicht umgehen","",""
"2022/05/25 12:36:03 PM OEZ","","männlich","41-45","Altenheim","beruflich","4 - sehr","1 - gar nicht","2","","4 - sehr wichtig","2","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","3","2","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 500 €","in monatlichen Raten","Ich sehe im häuslichen Umfeld einen hohen Nutzen, da die zu Betreuenden in der Regel alleine sind. Alternativ gibt es zwar einen Hausnotruf, der aber nicht immer betätigt werden kann. In einer Pflegeeinrichtung/Altenheim ist in der Regel 24h/d Personal anwesend zusätzlich zu weiteren Sturzdetektoren (Sensormatte, Bed-Exit-Box), dadurch sehe ich hier geringeren Bedarf im Einzelfall.","","Einfache Sprachbefehle erkennen und ausführen, wie ""Notruf wählen, Licht anschalten..."" oder ähnliches. Stimmfeedback bei Sturz um Beruhigend einzuwirken (""Bitte behalten Sie Ruhe. Hilfe ist unterwegs..."" oä.)"
"2022/05/25 12:39:26 PM OEZ","Aschau im Chiemgau","männlich","46-50","Pflegeheim","beruflich","3","1 - gar nicht","1 - gar nicht","Arbeit nach Expertenstandard Sturzprophylaxe in der Pflege","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","3","> 4 Stunden","","Häusliche Pflege","< 100 €","in monatlichen Raten","","",""
"2022/05/25 2:35:09 PM OEZ","Deutschland Feldkirchen-Westerham","männlich","51-60","Altenheim","beruflich","4 - sehr","3","2","Niederflur Betten","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","4 - sehr wichtig","","4 - sehr wichtig","3","4 - sehr wichtig","3","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 500 €","einmalig","","",""
"2022/05/25 4:13:46 PM OEZ","Deutschland, Krefeld","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","1 - gar nicht","2","Fixierung","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","100 € - 500 €","in monatlichen Raten","Ja, viele Patienten können dich nach dem Sturz nicht mehr selber helfen","","An Medikamente erinnern"
"2022/05/25 4:27:25 PM OEZ","Deutschland. Bernau am Chiemsee ","weiblich","41-45","Hospiz","beruflich","2","2","1 - gar nicht","Klingelmatten","3","2","3","1 - unwichtig","3","3","","3","1 - unwichtig","3","3","3","3","3","> 8 Stunden","","Altenheim;Häusliche Pflege","> 500 €","in monatlichen Raten","Ja durchaus . Er kann Lücken schließen, die durch fehlende persönliche Betreuung entsteht ","","Schutz vor Übergriffen "
"2022/05/25 5:33:07 PM OEZ","Deutschland, Kiefersfelden","weiblich","25-30","Altenheim","beruflich","4 - sehr","1 - gar nicht","1 - gar nicht","Niederflurbetten, Sensormatten, Stolperfallen vermeiden, Feststellen von Bremsen,...","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","4 - sehr wichtig","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","Roboter sollte Bestenfalls laden wenn Bew./Pat./Klient schläft","Altenheim;Pflegeheim;Häusliche Pflege","> 500 €","einmalig","Ich habe keinen Einsatz mit bekommen","",""
"2022/05/25 8:48:09 PM OEZ","","weiblich","25-30","Krankenhaus","beruflich","4 - sehr","2","2","Bettgitter, Niederflurbett, Schuhe ....","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","3","3","","3","1 - unwichtig","4 - sehr wichtig","3","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Pflegeheim;Häusliche Pflege","> 1.000 €","einmalig","","","Hilferuf Funktion für kleine Dringlichkeiten"
"2022/05/25 11:14:58 PM OEZ","","männlich","51-60","Krankenhaus","beruflich","4 - sehr","4 - sehr","4 - sehr","","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","2","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","> 8 Stunden","","Pflegeheim;Krankenhaus","> 1.000 €","in monatlichen Raten","","",""
"2022/05/26 7:45:47 AM OEZ","Wasserburg, Bayern","weiblich","51-60","Altenheim","beruflich","2","4 - sehr","1 - gar nicht","alle gängigen massnahmen","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","4 - sehr wichtig","","1 - unwichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","1 - unwichtig","4 - sehr wichtig","4 - sehr wichtig","> 24 Stunden","","Altenheim;Häusliche Pflege","100 € - 500 €","einmalig","ja, weil die bewohner dann weiter selbstständig agieren können","der roboter sollte dem bewohner folgen können - auch aus dem zimmer, bevor die tür geschlossen wird. akustischer, lauter alarm wäre sinnvoll.","sturzerkennung ist ausreichend"
